workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Pin,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,PinId,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the pin you just observed.",What is your overall impression of the pin?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,"After observing the pin, what is your overall impression of the item shown in the image above?",How much do you think the pin creator favors the item shown in the image above?,How likely do you think there is a relationship between the pin creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the pin you observed states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
11,17,17,3,2,Yes,Yes,Yes,Yes,Yes,Yes,Every Few Weeks,A Few Times A Week,A Few Times A Week,About Once A Day,A Few Times A Week,Less Often,Never,Every Few Weeks,Never,A Few Times A Week,Never,Less Often,52,70,781374604069700266,9,79,it was for some kind of bird food or something. there was a cartoon bird. ,Neutral,i don't have a pet bird so it's whatever,30,109,Neutral,Moderately Favors,Neutral,I don't know,11,123,they get an affiliate credit if you click it and buy it,19,142,9,151,1988,Female,Bachelor's Degree,"$25,000 to $34,999",38,189
12,16,16,3,5,No,No,Yes,No,No,No,A Few Times A Week,Never,Never,Never,Every Few Weeks,Never,Less Often,Never,Never,Never,Never,Never,37,53,804314814672700115,12,65,a dog bed in theshape of a shark,Neutral,not my style,24,89,Neutral,Moderately Favors,Somewhat Likely,most likely its way to show their product,62,164,i have no idea what this means,20,184,26,210,1976,Male,Bachelor's Degree,"$150,000 or more",21,231
13,18,18,3,3,Yes,Yes,No,Yes,Yes,No,Never,About Once A Day,Several Times A Day,Less Often,Several Times A Day,Never,Never,About Once A Day,Less Often,Never,Never,Never,44,62,414823815668000016,10,72,"They were kids converse shoes that were studded with sequins. There were slightly different styles, sizes and colors, but the over concept was the same. There was a white colored converse shoe. ",Neutral,"I just looked at it for what it was. It didn't appeal to me, but I didn't hate it either. ",92,164,Neutral,Somewhat Favors,Somewhat Unlikely,"The pin creator was talking about high-top sneakers, which these are not so its unlikely the seller and pin creator are related. Since its a pink shoe, the pin creator may favor the item somewhat. ",107,291,"I don't see a quote in this question. All I see is, 'affiliate link' so I don't see a description here. Sorry. ",67,358,25,383,1986,Male,Master's Degree,"$50,000 to $74,999",19,402
14,25,25,1,1,No,No,Yes,Yes,Yes,No,Several Times A Day,Never,Every Few Weeks,Never,A Few Times A Week,Never,Several Times A Day,Never,Less Often,Never,Less Often,Never,48,73,697283954778000593,17,90,"It was a soap holder in a shower, that appeared to maybe be constructed out of some other kind of metal components (not sure what was repurposed, but something DIY about it)",Somewhat Negative,I did not find it to be an attractive soap holder. Just not my style. ,66,156,Somewhat Negative,Somewhat Favors,Somewhat Likely,"It feels like the pin isn't really part of a collection of pins related to someone's personal design style, but trying to sell a product via Pinterest. ",72,255,,,,21,276,1966,Female,Master's Degree,"$25,000 to $34,999",16,292
15,11,11,4,4,Yes,No,Yes,Yes,Yes,Yes,Every Few Weeks,Never,Less Often,Never,Several Times A Day,Never,Less Often,Never,Less Often,Never,Never,Never,54,65,1548181098801468,8,73,It was either a cloth to cover a table or tapestry for the wall. ,Somewhat Positive,It wasn't hurting anything and it was quite beautiful.,76,149,Somewhat Positive,Somewhat Favors,Somewhat Unlikely,I know they are paid for people to go to the link so I don't think there is much of any relationship.,74,244,This is basically just an ad link for them to make money and nothing else.,36,280,19,299,1999,Female,High School Graduate,"$75,000 to $99,999",19,318
16,17,17,3,5,Yes,Yes,Yes,Yes,No,Yes,Several Times A Day,A Few Times A Week,A Few Times A Week,Every Few Weeks,A Few Times A Week,Several Times A Day,A Few Times A Week,Every Few Weeks,Every Few Weeks,Less Often,Never,A Few Times A Week,1058,1075,804314814672700115,5,1080,It was a dog bed shaped like a shark. It was pretty adorable. I liked that the bed was cozy and provided a cave-like environment for the dog. ,Extremely Positive,I thought it was really adorable and I would get it for my dog if I thought she would like it and it was affordable.,39,1119,Extremely Positive,Strongly Favors,Somewhat Likely,It's pretty likely that the creator of the pin would want to sell the item since they are the ones who manufactured the item. ,37,1162,Not sure what 'affiliate link' means. No actual link is shown to evaluate.,23,1185,343,1528,1991,Female,Bachelor's Degree,"$50,000 to $74,999",7,1535
17,5,5,5,1,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Several Times A Day,About Once A Day,Every Few Weeks,About Once A Day,Every Few Weeks,Never,About Once A Day,32,37,697283954778000593,7,44,It was soap in a dish with korean words written on it. ,Extremely Positive,"Clear image, easy to read text and option buttons to click so I know what to do. ",50,94,Extremely Positive,Strongly Favors,Extremely Likely,"The poster wrote in the description that they were affiliated, most likely being paid by the seller.",58,166,"It means that the seller specifically paid that person to post a link to their item, generating sales.",26,192,10,202,1996,Male,Some College,"$50,000 to $74,999",13,215
18,12,12,5,4,Yes,No,Yes,Yes,Yes,No,About Once A Day,Never,About Once A Day,Every Few Weeks,About Once A Day,Never,A Few Times A Week,Never,Every Few Weeks,Less Often,Never,Never,59,71,1548181098801468,14,86,It was a photo of a gray striped blanket.,Somewhat Positive,It was an attractive blanket.,37,123,Somewhat Positive,Strongly Favors,Extremely Likely,it seems that the blanket is being marketed on pinterest,50,190,the person linking item is paid,20,210,21,231,1963,Male,Bachelor's Degree,"$50,000 to $74,999",12,243
19,7,7,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Every Few Weeks,About Once A Day,Several Times A Day,A Few Times A Week,Less Often,Less Often,Never,Less Often,Never,A Few Times A Week,42,49,781374604069700266,15,64,It is a colorful advertisement for woodpecker treats.  They are called Suft Plugs. It's a year around treat.,Neutral,I could just be a blatant advertisement or something that a person is recommending.  I'm not sure. ,83,147,Somewhat Negative,Strongly Favors,Extremely Likely,The Pin directly links to a store page.  Someone wants me to buy this item.  Generally this mean they will profit from it.,83,237,,,,26,263,1982,Male,High School Graduate,"$50,000 to $74,999",12,276
20,16,16,2,2,Yes,No,Yes,Yes,Yes,No,A Few Times A Week,Never,Several Times A Day,A Few Times A Week,Several Times A Day,Never,Less Often,Never,A Few Times A Week,Every Few Weeks,Never,Never,52,68,781374604069700266,32,100,It was suet plugs to feed woodpeckers,Neutral,"It's not something I do, but I have friends who do it. So for myself I take a neutral stance.",82,182,Neutral,Strongly Favors,Neutral,Because the Pin gave no information one way or the other to give me an opinion about it,108,342,"At first I gave it no thought, but, it being pointed out make me believe it is an ""affiliate link"" in which the individual may make a fee from people making purchase that clicked on the link",109,451,40,491,1976,Male,Associate's Degree,"$50,000 to $74,999",13,504
21,38,38,2,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,Several Times A Day,Never,About Once A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,Never,79,117,1548181098801468,32,149,What looks likes a woven blanket or throw.  It was grayish-blue in color and looked about the length of a person.,Somewhat Positive,"While not a lot of information was provided, the throw appeared to be of good quality and looked like it would be comfortable.",77,226,Extremely Positive,Moderately Favors,Somewhat Unlikely,"Nothing appears overly glowing or unreasonably positive, so I don't feel manipulated.",198,429,I don't actually know.,11,440,582,1022,1985,Male,Bachelor's Degree,"$75,000 to $99,999",10,1032
22,7,7,4,2,Yes,No,Yes,Yes,Yes,Yes,Every Few Weeks,Less Often,About Once A Day,Less Often,A Few Times A Week,Several Times A Day,Less Often,Less Often,Less Often,Less Often,Less Often,Less Often,31,38,781374604069700266,7,45,Woodpecker suet plugs packaging,Neutral,It's a product package; I don't have an opinion,25,70,Neutral,Strongly Favors,Somewhat Likely,The affiliate link means that the poster is getting money from clicks and purchases,27,103,Some percentage of the sales generates by click-throughs on Pinterest go back to the poster. ,21,124,15,139,1971,Male,Doctoral Degree,"$100,000 to $124,999",12,151
23,11,11,5,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Less Often,Less Often,Less Often,Several Times A Day,Less Often,Less Often,Never,Never,Never,Never,Never,44,55,804314814672700115,10,65,"It was a shark shaped doggy house, cute!",Somewhat Positive,"It looked cute, a nice idea to host your dog, while being funny and nice to see",59,124,Somewhat Positive,Somewhat Favors,Somewhat Likely,There wouldn't be any other reason to keep in the pin even the price and its commercial description,64,208,The who posted that pin gets money if anyone finalize a purchase after clicking on that same link,49,257,35,292,1979,Male,Some College,"$25,000 to $34,999",15,307
24,3,3,3,2,Yes,No,No,Yes,Yes,No,Never,Never,Less Often,Several Times A Day,Several Times A Day,Never,Never,Never,Never,Never,Less Often,Never,46,49,781374604069700266,4,53,It was an extremely click bait advertisement. They wanted me to buy that. ,Somewhat Negative,It just felt like I was being sold to. ,34,87,Somewhat Negative,Somewhat Favors,Extremely Likely,It was an advertisement. ,32,122,"""affiliate link"" Is this a broken part of the survey? I'm not sure what you are asking me.",34,156,8,164,1996,Male,Associate's Degree,"$75,000 to $99,999",12,176
25,7,7,3,4,Yes,Yes,Yes,Yes,Yes,Not Sure,Several Times A Day,A Few Times A Week,About Once A Day,A Few Times A Week,Several Times A Day,Not Sure,About Once A Day,Never,Every Few Weeks,Never,Less Often,Not Sure,50,57,1548181098801468,9,66,It seems to be a woman promoting the rug/sheet she either bought or made. It looks like an ad but has a persons name on it. It could be the owner or maker of the product or a random person showing off a purchase but it looks like an ad.,Neutral,It's a good quality picture but the way it is posted makes me wary it is an ad of some sort.,169,235,Somewhat Positive,Strongly Favors,Somewhat Likely,They were either paid or received free items/promos/discounts for this post. It could be a random consumer but it gives me doubts.,122,372,"Affiliate link, going to the actual company website.",38,410,46,456,1982,Male,Associate's Degree,"$25,000 to $34,999",23,479
26,25,25,2,3,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Less Often,A Few Times A Week,About Once A Day,About Once A Day,Never,A Few Times A Week,Less Often,Less Often,Every Few Weeks,Every Few Weeks,Never,74,99,414823815668000016,13,112,It was children's pink converse shoes with lots of bling.,Somewhat Positive,I thought the shoes were cute.,53,165,Somewhat Positive,Slightly Favors,Somewhat Unlikely,She doesn't seem to be pressing the issue of where to buy the shoes as she is happy to share how she added embellishments on the shoes.,73,258,It means it's giving credit to someone for sharing the link inside the pin and directing them to the site that has the product.,69,327,51,378,1961,Female,Some College,"$35,000 to $49,999",21,399
27,15,15,3,3,Yes,Yes,Yes,Yes,No,No,Less Often,Several Times A Day,About Once A Day,A Few Times A Week,About Once A Day,Never,Never,Less Often,Less Often,Every Few Weeks,Never,Never,55,70,414823815668000016,16,86,"It was a photo of bedazzled baby boots. It was posted as DIY, as in you can bedazzle boots yourself.",Somewhat Negative,"I just find things like this irritating, like women should be stuck at home sticking diamante on to baby boots.",134,220,Somewhat Positive,Moderately Favors,Neutral,"I am unsure that there is a relationship between the pin creator and the organization. They could be affiliates, but they might just be the shoes she used.",85,321,It means affiliate link.,28,349,20,370,1971,Female,Bachelor's Degree,"$50,000 to $74,999",30,400
28,9,9,4,3,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Less Often,Several Times A Day,About Once A Day,Several Times A Day,About Once A Day,Several Times A Day,A Few Times A Week,26,35,414823815668000016,4,39,It was for kids clothing. I am not sure what else it is,Neutral,I am just not sure I would want to see it again,19,58,Neutral,Slightly Favors,Neutral,I am just not sure I need that,13,76,Its just something I do not need or want,18,94,8,102,1985,Male,Some College,"$35,000 to $49,999",13,115
29,57,57,1,4,Yes,No,Yes,Yes,No,No,Never,Never,Less Often,About Once A Day,A Few Times A Week,Never,Never,Never,Less Often,Every Few Weeks,Never,Never,76,133,1548181098801468,19,152,"Picture of a blanket. The blanket was blueish grey with white stripes. It appeared to be made of natural fibers, cotton or perhaps linen. It was being held up by a woman. Judging from her position (arms above her head), the blanket appeared to be approx 6 ft tall x 5 ft wide. Caption read ""For the Home.""",Somewhat Positive,"Blanket was attractive. Setting was plain but not unappealing. Setting gave the blanket a handmade feel, but also made certain details hard to discern",279,431,Somewhat Positive,Somewhat Favors,Somewhat Unlikely,"Woman and setting in the pin seem a little too unstylish to have been photographed by Anthropologie. Now that I know the blanket came from that store, I have the impression that the woman in the photo simply purchased it and then pinned the photo because she was pleased with her purchase.",248,699,,,,70,769,1969,Female,Bachelor's Degree,"$50,000 to $74,999",34,803
30,40,40,2,3,No,No,Yes,Yes,Not Sure,No,Less Often,Every Few Weeks,Several Times A Day,A Few Times A Week,About Once A Day,Never,Less Often,Never,Every Few Weeks,Never,Never,Never,64,104,414823815668000016,52,156,"There were four tiled pictures of children's shoes that appeared to have been styled with rhinestones or something similar. There was a caption, ""we are dreamy girls"" along with two other non-arabic characters. There was also a URL in the middle that was hard to read.",Somewhat Negative,"I wasn't 100% sure what what the caption meant and the whole pin, for that matter, without more context.",261,417,Neutral,Moderately Favors,Somewhat Likely,"I would suspect the pin creator gets a kickback from the referral, but I'm not sure about at that, since it's a relatively generic item.",189,627,"It means that the link is an ""affiliate"" link and the referrer is affiliated with the seller and gets some remuneration from them.",71,698,40,738,1975,Male,Master's Degree,"Less than $25,000",15,753
31,28,28,2,4,Yes,No,Yes,No,Yes,No,Several Times A Day,Never,Never,A Few Times A Week,A Few Times A Week,Never,About Once A Day,Never,Never,Every Few Weeks,Every Few Weeks,Never,61,89,1548181098801468,12,101,Someone holding up what appears to be a throw or a table cloth...not sure,Neutral,I think it could be displayed in a better fashion,43,144,Extremely Positive,Strongly Favors,Somewhat Likely,"I am not sure, I think the creator is apart of this organization",97,251,I think this means that this is just one item in a whole line of like products...???,48,299,28,327,1954,Female,Some College,"Less than $25,000",11,338
32,79,79,3,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Every Few Weeks,Every Few Weeks,A Few Times A Week,About Once A Day,Never,About Once A Day,Every Few Weeks,Every Few Weeks,Every Few Weeks,Never,Never,104,183,1548181098801468,27,210,Not sure if it was a towel or a wall hanging but I prefer homemade stuff on pinterest and this does not look like it was made by someone,Somewhat Negative,Just not something that I would be interested in looking at,61,271,Somewhat Positive,Moderately Favors,Extremely Likely,Well because it says it is sold out and lists shipping and returns,45,322,I would think affiliate link,22,344,19,363,1982,Female,Some College,"$25,000 to $34,999",12,375
33,5,5,1,1,Yes,No,Yes,Yes,Yes,Yes,Several Times A Day,Never,A Few Times A Week,Every Few Weeks,A Few Times A Week,Several Times A Day,A Few Times A Week,Never,Less Often,Less Often,Less Often,A Few Times A Week,49,54,697283954778000593,6,60,In was about home décor in the bathroom.,Somewhat Positive,The item that went with it was appropriate.,42,102,Neutral,Strongly Favors,Neutral,It's possible she just really likes the item.,144,256,,,,19,275,1986,Male,Bachelor's Degree,"$50,000 to $74,999",14,289
34,13,13,1,2,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Less Often,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,A Few Times A Week,Never,Never,Never,Never,Never,55,68,781374604069700266,218,286,Ad for bird suet. Year round bird feed. There were bright colors. Cartoon-like appearance.,Neutral,"It was easy to look at, but not overly professional appearing.",91,377,Neutral,Somewhat Favors,Somewhat Likely,"They included information that might generate interest to click further to the product, to generate sales. ",117,511,,,,48,559,1982,Female,Associate's Degree,"$50,000 to $74,999",17,576
35,14,14,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,Every Few Weeks,Several Times A Day,A Few Times A Week,About Once A Day,About Once A Day,A Few Times A Week,A Few Times A Week,Several Times A Day,Less Often,About Once A Day,44,58,1548181098801468,10,68,It was a denim blue and white striped blanket or comforter for the bedroom or living room. ,Somewhat Positive,It was cute but just not my style. ,36,104,Somewhat Negative,Somewhat Favors,Extremely Likely,She is  being paid to promote the item on her pinterest/social media account. ,48,164,"This means that she is being paid to promote the item on her social media account.  Every time one of the blankets sells after the user has clicked through from her social media page, she receives compensation. ",47,211,19,230,1986,Female,"Professional Degree (e.g., MBA, J.D.)","$75,000 to $99,999",30,260
36,55,55,1,5,Yes,No,Yes,No,Yes,No,A Few Times A Week,Never,Never,Every Few Weeks,Several Times A Day,Never,Every Few Weeks,Never,Never,Never,Never,Never,68,123,804314814672700115,29,152,It's a dog bed that looks like a shark. It's grey with black accents. It looks like it's made from plush material. ,Neutral,It's cute but wouldn't be my pick.,116,268,Neutral,Strongly Favors,Somewhat Likely,It's possible there is a connection and the person wants to promote the pet bed.,122,411,,,,46,457,1965,Female,Some College,"$50,000 to $74,999",22,479
37,7,7,1,1,Yes,Yes,Yes,Yes,Yes,No,Every Few Weeks,Several Times A Day,Never,About Once A Day,A Few Times A Week,Never,Less Often,Every Few Weeks,Never,Never,Never,Never,55,62,697283954778000593,9,71,This was a picture of a soap holder in a shower.,Neutral,That pin is just not something that interests me too much.  I am not in the season of life where I am thinking about decorating my bathroom,57,128,Somewhat Positive,Strongly Favors,Somewhat Likely,"It is in my opinion that usually if there is a link tied back to the product, the poster has an affiliation with that brand.",55,193,,,,30,223,1977,Female,Bachelor's Degree,"$75,000 to $99,999",12,235
38,21,21,4,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Every Few Weeks,Every Few Weeks,About Once A Day,A Few Times A Week,Never,Every Few Weeks,Never,Every Few Weeks,A Few Times A Week,Every Few Weeks,Never,65,86,1548181098801468,21,107,A throw that appears to be denim. Has a blue jean color and a few white lines through it on each end. ,Somewhat Positive,"I liked the item, but I didn't love it. I probably wouldn't decorate with it. ",59,166,Somewhat Positive,Strongly Favors,Extremely Likely,There is a screenshot showing that the person gets a commission.,59,243,"It means that if you click on the link and make the purchase, the person that posted gets a commission from the sale. It is normally a certain percentage. ",50,293,21,314,1974,Female,Some College,"$75,000 to $99,999",20,334
39,16,16,3,2,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,Less Often,Several Times A Day,About Once A Day,Every Few Weeks,A Few Times A Week,Every Few Weeks,Never,Every Few Weeks,Never,Every Few Weeks,61,77,781374604069700266,15,92,It is a feeder for woodpeckers.,Neutral,I didn't feel any particular way about the pin.,43,135,Somewhat Positive,Strongly Favors,Neutral,The writing wasn't specific enough to say without a doubt that the pinner had a direct link to the product.,104,253,I just thought that meant you could click the link and go to the page to purchase the product.,43,296,35,331,1982,Female,Some College,"$75,000 to $99,999",17,348
40,8,8,1,3,No,No,Yes,Yes,Yes,No,About Once A Day,Never,Several Times A Day,Never,A Few Times A Week,Never,Less Often,Never,Less Often,Never,Less Often,Never,113,121,414823815668000016,47,168,It's a picture of different pairs of kids converse shoes that have been decorated with rhinestones and ribbon.  It's a DIY project that seems like a fun project to do with kids.,Somewhat Positive,It's a fun activity that gives you ideas on how to bedazzle shoes for kids.,200,368,Somewhat Positive,Moderately Favors,Neutral,"I think it's possible that there could be a special relationship with Heely's and the pin creator; however, I am not really sure.  She might use an affiliate link to gain extra income by directing people to the amazon page.  If I had to guess, I think the pin creator is just showing people a shoe that she likes and one that would work well for her DIY project.",191,578,,,,41,619,1981,Male,Bachelor's Degree,"$75,000 to $99,999",12,631
