workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Video,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,VideoId,player_actions,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the video you just watched.",What is your overall impression of the video?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,Time_spent_page_description,Time_spent_survey_description,"After watching the video, what is your overall impression of the item shown in the image above?",How much do you think the video creator favors the item shown in the image above?,How likely do you think there is a relationship between the video creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the video you watched states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
11,28,28,5,4,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,About Once A Day,Every Few Weeks,Several Times A Day,About Once A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,Less Often,Never,A Few Times A Week,90,118,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.05121808583068847;,376,494,It was shot in Iceland with a drone. Highlighting the scenic natures that the country hold.,Extremely Positive,It was lush and captivating. It really made me want to travel to Iceland and other parts of the world.,61,555,9,564,Neutral,Slightly Favors,Extremely Likely,"If the person is using affiliated marketing, then they have something to gain.",60,624,"If someone purchases the item, by clicking through the link, they will get a small percentage of the item that is being bought.",47,671,19,690,1989,Male,Bachelor's Degree,"$75,000 to $99,999",16,706
12,15,15,4,4,No,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,Several Times A Day,Never,Several Times A Day,Never,A Few Times A Week,Every Few Weeks,Every Few Weeks,Never,Never,Never,44,59,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.0280001163482666;,204,263,It was scenery and music,Somewhat Positive,It was nice to see nature.,23,286,7,293,Somewhat Positive,Moderately Favors,Neutral,Well they are promoting the video and some people will be curious so only natural to sell the drone too if possible.,44,337,Someone is making money from me clcking.,19,356,6,362,1979,Male,Bachelor's Degree,"$35,000 to $49,999",20,382
13,5,5,7,3,Yes,Yes,Yes,No,Yes,Yes,A Few Times A Week,Never,Never,Never,A Few Times A Week,A Few Times A Week,Never,Never,Never,Never,Never,Never,40,45,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0019998550415039062;0|213.141;,173,218,It was a bunch of photos from a hotel in Denmark accompanied by Christmas music,Somewhat Negative,"The hotel looked nice, but the music was obnoxious.",50,268,14,282,Somewhat Positive,Does Not Favor At All,Extremely Unlikely,The video seemed very amateur and I doubt the owner of the hotel would approve of it,63,345,Click on the links and the channel gets paid by the owner of the link,42,387,48,435,1991,Male,Bachelor's Degree,"$100,000 to $124,999",15,450
14,145,145,3,2,Yes,No,Yes,No,Yes,No,Less Often,Never,Never,Less Often,Several Times A Day,Never,Less Often,Never,Never,Never,Never,Never,84,229,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.007090041961669922;2|1.7895;3|1.7895;1|1.791499855041504;3|21.785301;1|21.787216927520753;3|48.541057;1|48.541057;3|54.873639;1|54.880318876022336;3|64.85578100000001;1|64.8582418550415;3|71.456317;1|71.45731692752075;3|77.292781;1|77.29378116593934;3|82.648079;1|82.64907892752075;3|88.42162;1|88.42261992752076;3|93.734215;1|93.73521516593934;3|99.335217;1|99.33621692752075;3|95.462805;1|95.462805;3|103.372478;1|103.37347792752075;3|109.078464;1|109.0804638550415;3|114.5163;1|114.52201;3|122.139865;1|122.14086492752075;0|204.901;,359,588,It is a review about a cosmetic product.She just told that she found the product expensive at a retail store for around $20.00. But finally she got it on a sale for $13.00 to $14.00.She then showed the color combinations of the eye shades by applying and finally she liked  the product.,Somewhat Positive,"She was giving a positive review on the product.She just showed how she could combine different color shades and could be applied on the eye lids.She did not mention anything negative nor gave any kind of complaint  about the product.She looked happy with it ,also she mentioned that she got a good deal on a sale.",476,1064,95,1159,Somewhat Positive,Moderately Favors,Somewhat Unlikely,"I don't think she might be linked to the organization ,she was just interested in  anything related to beauty,so she is just providing the link where she might have brought the product.",264,1423,"I think affiliate links means ,they are the links through which marketing of the product is done.Once the consumer clicks on the link ,he or she would be redirected to the product they are viewing in the video.It is a kind of marketing the product where, the person who creates the link gets paid ,when the viewer clicks on the link. ",507,1930,107,2037,1978,Female,Bachelor's Degree,"$100,000 to $124,999",34,2071
15,6,6,2,1,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,A Few Times A Week,About Once A Day,Several Times A Day,About Once A Day,About Once A Day,Several Times A Day,About Once A Day,Several Times A Day,About Once A Day,About Once A Day,Several Times A Day,107,113,DQktwMexxE0,Start|0;-1|0;3|0;1|0.009000062942504883;0|217.081;,232,345,a cat played with a furby. It mostly just stood there watching it like what the heck is this ,Extremely Positive,It was cute and I liked it ,110,455,13,468,Somewhat Positive,Moderately Favors,Extremely Likely,the video was about a cat and that's cat food. the video will most likely be watched by cat owners,37,505,i have no idea,7,512,156,668,1988,Male,Bachelor's Degree,"$75,000 to $99,999",15,683
16,14,14,2,1,Yes,No,Yes,No,Yes,No,A Few Times A Week,Every Few Weeks,A Few Times A Week,Every Few Weeks,Several Times A Day,Never,Less Often,Never,Never,Less Often,Less Often,Never,493,507,DQktwMexxE0,Start|0;-1|0;3|0;1|0.018000125885009766;0|217.081;,325,832,"The video was about a cat watching and listening to a Furby toy.The cat reacted to it by staring at the furbies, meowing, and it went up to them.",Somewhat Positive,The video was a pretty neutral one. It was calming and the cat was cute. ,126,958,12,970,Neutral,Somewhat Favors,Neutral,"I am not too sure about the affiliation, but I think there is a little bit of one with both parties. ",50,1020,Affiliate links displayed are just links that guide you to pages the creator added or they were encouraged to apply.,63,1083,18,1101,1991,Male,High School Graduate,"$50,000 to $74,999",20,1121
17,11,11,5,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Less Often,About Once A Day,About Once A Day,A Few Times A Week,Never,About Once A Day,Never,Every Few Weeks,About Once A Day,Never,Never,41,52,DQktwMexxE0,Start|0;,226,278,"there was a cat, and some furbies.  the cat was reacting to the furbies and did not like it when the furby was put away",Neutral,"it was cute, but really not necessary. It wasnt particularly funny or entertaining. it was sort of long and just interesting",78,356,21,377,Neutral,Does Not Favor At All,Extremely Likely,it says there are affiliate links. this link goes to something not even shown in the video,46,423,it means that there are ads on the page and if i click then the creator of the video will get a tiny amount of money,33,456,20,476,1975,Female,Associate's Degree,"Less than $25,000",16,492
18,9,9,2,4,No,No,Yes,No,No,Yes,Every Few Weeks,Less Often,Less Often,Less Often,About Once A Day,Several Times A Day,Never,Never,Never,Never,Never,Several Times A Day,58,67,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.0010001659393310547;,199,266,driving a car around an island filming through dashcam an ddrone,Extremely Positive,it was pretty,35,301,12,313,Somewhat Positive,Strongly Favors,Neutral,there's no way to know,34,347,"oh, he may be affiliated with amazon",28,375,60,435,1983,Male,Bachelor's Degree,"$75,000 to $99,999",50,485
19,14,14,1,4,No,Yes,Yes,Yes,Yes,No,About Once A Day,About Once A Day,About Once A Day,Never,About Once A Day,Never,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,Less Often,Never,48,62,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.010676855041503907;0|200.401;,239,301,The video was a dash cam and drone video where it shot video of landscapes and the front a of a car driving.,Neutral,It was an alright video. I don't think it was very involving.,78,379,11,390,Somewhat Negative,Moderately Favors,Extremely Likely,"This is a really expensive drone, there are a lot cheaper ones out there and he/she might want a commission on sales.",48,438,,,,24,462,1986,Female,Some College,"$25,000 to $34,999",12,474
20,492,492,3,4,No,No,Yes,No,No,Yes,A Few Times A Week,Less Often,Never,Never,Several Times A Day,Every Few Weeks,Less Often,Never,Never,Never,Never,Less Often,45,537,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.024769845504760742;3|0.429905;1|0.4339049485015869;3|1.995167;1|1.995677;3|5.477041;1|5.477041;3|10.692402;1|10.998804093460082;3|12.117566;1|12.143713927520752;3|16.370075;1|16.38907505340576;3|20.168132;1|20.171132020980835;3|26.179926;1|26.18092592752075;,224,761,"The video was drone footage and dashcam footage of Iceland.  It has a lot of scenic, outdoor views that were really pretty.",Somewhat Positive,The country looks beautiful and the video was put together well.,76,837,8,845,Extremely Positive,Strongly Favors,Somewhat Likely,"The creator could just like the drone and wanted to share, or maybe the drone manufacturer gave him something in return.  It's hard to tell.",92,937,There could be links that are able to track where the traffic came from.,126,1064,22,1086,1985,Male,Bachelor's Degree,"$50,000 to $74,999",10,1096
21,18,18,3,4,Yes,No,Yes,Yes,No,No,About Once A Day,Never,A Few Times A Week,Every Few Weeks,A Few Times A Week,Never,Every Few Weeks,Never,Every Few Weeks,Less Often,Never,Never,43,61,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.0026041659393310546;,205,266,Drove video of a waterfall. Dashcam video of driving around in the rain.,Extremely Negative,What was the point? Watching someone's view as they drive around isn't interesting.,97,363,12,375,Neutral,Somewhat Favors,Extremely Likely,It seems like everything is advertising now.,61,436,The person gets a payment for each click on an affiliate link.,30,466,19,485,1959,Female,Bachelor's Degree,"$25,000 to $34,999",12,497
22,31,31,3,3,Yes,No,Yes,No,Yes,No,Several Times A Day,Never,Never,Less Often,About Once A Day,Never,Every Few Weeks,Never,Never,Never,Never,Never,48,79,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.008999824523925781;,181,260,"Pretty pictures, incredibly obnoxious christmas music.",Extremely Negative,The music was awful and did not fit the video at all.,55,315,32,347,Somewhat Negative,Does Not Favor At All,Extremely Unlikely,"The music was so awful, it was distracting.  I just don't even know",64,411,It means that the website makes a commission if people shop through the links,28,439,29,468,1968,Female,Some College,"$100,000 to $124,999",19,487
23,4,4,7,5,No,No,Yes,Yes,Yes,Yes,A Few Times A Week,Never,Every Few Weeks,Never,A Few Times A Week,Several Times A Day,Never,Never,Never,Never,Never,Every Few Weeks,36,40,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0009999275207519531;0|220.721;,342,382,"It was an unpackaging and a review for a record player. The reviewer seemed to be passionate about the product, so I assume he knows what he's talking about.",Somewhat Positive,The reviewer was enthusiastic and seemed to be knowledgeable.,51,433,6,439,Neutral,Somewhat Favors,Somewhat Unlikely,"I don't believe the organization and the reviewer have a relationship. If they do, it was likely strictly business with them sending him a free copy in exchange for a review.",61,500,"My links are referrals so if you buy, I'll receive a commission.",26,526,32,558,1994,Male,Bachelor's Degree,"$35,000 to $49,999",9,567
24,10,10,6,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Less Often,A Few Times A Week,Never,Several Times A Day,Never,Every Few Weeks,Less Often,Every Few Weeks,Never,Never,Never,50,60,DQktwMexxE0,Start|0;-1|0;3|0;1|0.018999990463256837;2|90.18846753246754;3|90.18846753246754;1|90.21646710490417;2|85.60858441558442;3|85.60858441558442;1|85.60958416593932;2|83.84709090909091;3|83.84709090909091;1|83.88009010490417;2|79.61950649350649;3|79.61950649350649;1|79.62850609346009;2|135.9872987012987;3|135.9872987012987;1|136.02429800190734;2|143.3855714285714;3|143.3855714285714;1|143.40657094850158;2|154.65912987012987;3|154.65912987012987;1|154.68412896948243;2|165.9326883116883;3|165.9326883116883;1|165.93868792752076;2|176.50164935064936;3|176.50164935064936;1|176.51864909346008;2|187.7752077922078;3|187.7752077922078;1|187.7862070934601;2|194.8211818181818;3|194.8211818181818;1|194.83818092752074;2|204.33324675324675;3|204.33324675324675;1|204.35124592752075;2|210.32232467532467;3|210.32232467532467;1|210.3353240934601;2|216.31140259740258;3|216.31140259740258;1|216.3144018550415;0|217.081;1|106.39720781318863;2|106.3942077922078;3|106.3942077922078;1|106.40020692752076;2|155.01142857142858;3|155.01142857142858;1|155.01442816593934;2|193.7642857142857;3|194.11658441558438;1|194.1265838550415;2|208.20853246753245;3|208.209532;1|208.22453182452392;2|213.49301298701297;3|213.49301298701297;1|213.5050120934601;2|217.016;0|217.081;,173,233,"A cat is playing with a Furbaby. It seems very interested in the toy as it goes up to it and sniffs it several times. When the owner puts away the toy, the cat goes looking for it and climbs onto to shelf to continue playing with it.",Somewhat Positive,I think that the cat in the video is very cute and his behavior towards the toy is adorable.,75,308,14,322,Neutral,Strongly Favors,Neutral,I think the video posted strongly favors the cat food because he needs to feed his cat that he loves. I answered neutral to the other two questions because I am not interested in cat food and I also do not have enough information to decide whether there is a relationship between the video poster or the organization selling the cat food.,102,424,The video poster needs income to support himself and his cat so he asks for help.,27,451,19,470,1996,Male,Some College,"Less than $25,000",13,483
25,30,30,2,4,Yes,Yes,Yes,Yes,Not Sure,Yes,Several Times A Day,Several Times A Day,Every Few Weeks,A Few Times A Week,Less Often,A Few Times A Week,A Few Times A Week,A Few Times A Week,Every Few Weeks,Every Few Weeks,Never,Less Often,51,81,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.004222093460083008;,206,287,"video of Iceland shot from car, driving around the country and other film of landscape and waterfalls",Somewhat Positive,I did not like the music and the sped up driving scenes made me a little dizzy,56,343,20,363,Extremely Positive,Strongly Favors,Neutral,I'm not sure Amazon or the drone manufacturer would give compensation to the creator. But they might,62,425,links to affiliates that they have a relationship might be present and if you visit them and spend money the creator might get compensation,38,463,20,483,1985,Female,"Professional Degree (e.g., MBA, J.D.)","$100,000 to $124,999",14,497
26,14,14,7,4,No,Yes,Yes,Yes,Yes,Not Sure,Less Often,Every Few Weeks,A Few Times A Week,Never,About Once A Day,Less Often,Less Often,Less Often,Less Often,Never,Less Often,Less Often,66,80,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.002000093460083008;,244,324,"It was an air view of Iceland at first that was shot with a drone, and then there were also shots of the country that were shot in a car.",Somewhat Positive,"It was very simple, though it was entertaining to watch.",121,445,19,464,Extremely Positive,Strongly Favors,Somewhat Likely,I think he might have received the drone with the purpose of making a video and advertising it.,94,558,It means that the channel benefits from selling the items. So a deal exists between the drone and camera company and the YouTube channel.,53,611,41,652,1964,Male,Bachelor's Degree,"$75,000 to $99,999",32,684
27,36,36,7,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,A Few Times A Week,About Once A Day,Every Few Weeks,Every Few Weeks,Several Times A Day,A Few Times A Week,Every Few Weeks,Every Few Weeks,Less Often,Less Often,49,85,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.006999969482421875;0|220.721;,241,326,"A review of a Crosley portable record player. The player was orange, has attached speakers, aux out capabilities, and comes in a multitude of colors. The only drawback was the AC cord does not fit in the case.",Somewhat Positive,The reviewer was enthusiastic and knowledgeable. He knew the product and presented it well. I would rate him higher except for the messy desk and background. That detracted a bit and distracted me form what he was saying.,657,983,34,1017,Extremely Positive,Strongly Favors,Somewhat Likely,The previous screenshot showed his links to the various items encouraging users to buy through those links so that he gets a monetary reward.,115,1132,"That the reviewer is receiving payment for every record player sold through Amazon at that link. If a buyer goes through Amazon directly, the reviewer receives nothing.",60,1192,17,1209,1966,Female,Bachelor's Degree,"$35,000 to $49,999",17,1226
28,17,17,5,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,A Few Times A Week,Every Few Weeks,Several Times A Day,Never,A Few Times A Week,Every Few Weeks,Less Often,Less Often,Less Often,Never,60,77,DQktwMexxE0,Start|0;-1|0;3|0;1|0;0|217.081;,313,390,A cat played with and reacted to a Japanese furby.  The cat got upset when the human put the furby up on a shelf.,Extremely Positive,I love cats and I think most cat videos are funny.,38,428,14,442,Somewhat Positive,Moderately Favors,Somewhat Likely,"I think the original video creator probably uses this food, but I'm not 100% sure. It could be a targeted placed ad because this video is about a cat.",165,607,The video creator will receive money for every click or purchase made from the links under the video.,20,627,10,637,1985,Female,Bachelor's Degree,"$75,000 to $99,999",640,1277
29,11,11,4,2,Yes,Yes,Yes,No,No,Yes,Several Times A Day,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,Several Times A Day,A Few Times A Week,Every Few Weeks,Never,Less Often,Never,A Few Times A Week,57,69,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.050000158309936524;,209,278,"This video was a makeup tutorial. To be more specific, it was a review of an eye shadow pallette and a tutorial about how to apply it. ",Somewhat Positive,I thought the video was created well. It had interesting content and was presented in a way that was easy to watch and understand. ,53,331,9,340,Somewhat Positive,Somewhat Favors,Somewhat Likely,"I think that the creator probably gets some sort of kick back for making a video about this product, if the viewer uses her affiliate link to purchase the product online. ",54,394,"This means that the video creator is going to be paid for any products sold from that affiliate link, which makes me question how honest the feedback is because a bad review obviously isn't going to encourage a viewer to purchase the product. ",43,437,25,462,1990,Female,Associate's Degree,"$50,000 to $74,999",12,474
30,59,59,1,2,No,Yes,No,Yes,Yes,Yes,Never,Several Times A Day,Less Often,Never,Several Times A Day,Never,Never,Less Often,A Few Times A Week,Never,Never,Never,72,131,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.8679578912811279;0|204.901;,217,348,Very informal for females. Information that doesn't pertain to me because i'm a male. I would suggest my female friends to watch her videos,Somewhat Positive,"Nice camera quality, well spoken, got straight to point. Timing going into the next cut could've been better.",219,567,23,590,Neutral,Strongly Favors,Somewhat Likely,Her subscriber count would make me think they send her stuff to review to her fanbase. ,156,746,,,,81,827,1995,Male,Some College,"Less than $25,000",16,843
